1,Aguirre Ana,ana25@gmail.com,Las heras 515
2,Beltran Antonia,antobel@gmail.com,Rivadavia 775
3,Frontini Sebastian,frontini-5@gmail,Lunghi 44
4,Hernandez Antonio,antoher.75@hotmail.com,sarmiento 1207
5,Jimenez Manuel,manu65@mail.com,Marzoratti 1550
6,Juarez Octavio,juarez.octa@gmail.com,Gaucho Rivero 1200
7,Latorre Sofia,sofla@gmail.com,Garibaldi 110
8,Ledesma Victoria,Vicku@hotmail.com,Paz 2020
9,Leguizamon Alberto,Legazi_47@gmail.com,Actis 1720
10,Miguel Jorge,koki_121@gmail.com,Libertad 421
11,Miranda Angeles,angie.3@hotmail.com,Belgrano 593
12,Nuñez Gabriel,nuñez.g@gmail.com,Quintana 814
13,Peralta Luna,peralta.l1@hotmail.com,Labarden 276
14,Perez Cubana,culibre@gmail.com,Casacuberta 47
15,Robledo Ernesto,roesto.47@gmail.com,9 de julio 781
16,Rosas Cecilia,chechu215@hotmail.com,Payro 1432
17,Sosa Roberto,abueso@gmail.com,Siempreviva 333
18,Toledo Ignacia,nacha77@hotmail.com,Rondeau 920
19,Vignoles Milagros,mili07_3@gmail.com,Jujuy 2305
20,Villagra Stefania,tefi_vi@gmail.com,Chieno 1421
